,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,880,Hard Anodised Ezee-Pour Saucepan With Lid - L88,Beauty & Hygiene,Chocolates & Candies,Lyra,3641.18,124.22,Water & Fridge Bottles,
1,998,Assam Tea,"Kitchen, Garden & Pets",Drinks & Beverages,So Sweet,1491.96,18.17,Other Pooja Needs,4.0
2,915,Body Massage Oil - Energising,Gourmet & World Food,"Spreads, Sauces, Ketchup",Organic Tattva,163.93,257.13,Green Tea,
3,961,Soft & Fresh Soap Bar,Snacks & Branded Foods,"Atta, Flours & Sooji",Sunfeast,748.22,906.08,Sanitary Napkins,
4,388,Ylang Ylang Essential Oil,Gourmet & World Food,Tea,Ritu,410.43,148.91,Cookies,3.8
5,969,Brightening Booster Orange Shower Gel,"Kitchen, Garden & Pets",Fruit Juices & Drinks,Colour Me,721.99,561.8,Ayurveda,
6,617,"Cereal - Ragi, Rice & Mango With Milk",Gourmet & World Food,Storage & Accessories,Omega,334.58,491.22,"Cut Fruit, Tender Coconut",4.3
7,363,"Honey Comb Touch Non-Stick Flat Tawa - 260 mm, Black","Kitchen, Garden & Pets",Organic Staples,bb Popular,110.21,297.54,Face Care,
8,909,Baby Corn - Sweet & Sour,Gourmet & World Food,Crockery & Cutlery,Maharishi Ayurveda ,220.39,852.26,Sanitary Napkins,
9,705,"Bathing Bar Soap - Germ Protection, Original","Kitchen, Garden & Pets",Hair Care,Faultless,445.51,525.68,Ayurveda,
10,445,Wisal Dhabab Perfume Deodorant For Men,"Kitchen, Garden & Pets","Pasta, Soup & Noodles",Bronson Professional,956.76,271.89,Bathing Bars & Soaps,3.8
11,862,Premium Eau De Toilette,Snacks & Branded Foods,Bath & Hand Wash,It's Skin,638.13,639.54,Eau De Toilette,3.8
12,961,"Cat Treats - Salmon Rings, Purr-Fect",Gourmet & World Food,Organic Staples,bb Royal,28.48,796.38,Other Dry Fruits,
13,773,Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,"Kitchen, Garden & Pets",Crockery & Cutlery,Real,285.16,199.07,Shampoo & Conditioner,5.0
