,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,748,"Glass Matt Finish Bottle With Plastic Cap - Blue, BB1324",Fruits & Vegetables,"Sauces, Spreads & Dips",Nakoda,48.71,570.04,Balsamic & Cider Vinegar,5.0
1,419,Aqua Halo Rejuvenating Conditioner,Gourmet & World Food,Fragrances & Deos,bb Royal,167.87,747.94,Granola & Cereal Bars,
2,981,Heavy Starch - Lemon Fresh Scent,Cleaning & Household,Cuts & Sprouts,Krosno - Europe,784.32,432.01,Ayurveda,
3,337,Baby Napkins - Mini Terry,Gourmet & World Food,"Mops, Brushes & Scrubs",Aaha Oho,342.06,559.67,Ayurveda,
4,872,Asafoetida - Powder,Beauty & Hygiene,Dals & Pulses,Marudhar,513.38,2120.13,Roasted Seeds & Nuts,
5,104,Sesame Oil - Cold Pressed,Snacks & Branded Foods,Tea,Dorall Collection,49.25,398.87,Diapers,4.0
6,213,Green Stuffed Hot Pepper Pickle,"Foodgrains, Oil & Masala",Flask & Casserole,The Man Company,68.88,65.63,Face Care,
7,631,Andhra Special Allam/Ginger Pickle,"Kitchen, Garden & Pets",Masalas & Spices,StBotanica,143.0,125.32,"Healthy, Baked Snacks",4.0
8,754,Ivory Glass Bottle - Orange & Yellow Floral,Gourmet & World Food,Edible Oils & Ghee,Fresho,23.4,117.97,Shampoo & Conditioner,
9,445,Amla Juice,"Foodgrains, Oil & Masala","Snacks, Dry Fruits, Nuts",Happilo,87.67,2477.6,Granola & Cereal Bars,
10,225,"Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5",Gourmet & World Food,Chocolates & Biscuits,Huggies,39.24,3547.14,Organic Masalas & Spices,
11,868,Aluminium Induction Base Flat Bottom Patila Tope Pot - Silver,Cleaning & Household,Stationery,Nakoda,145.14,274.07,"Aerated, Still, Sparkling",
12,88,W3 Perfume Spray - For Women,Gourmet & World Food,Dairy,BB Home,597.86,161.17,Tawa & Sauce Pan,
13,239,Choco Deck - French Dessert Inspired Layered Bar,Cleaning & Household,Dairy,Fackelmann,153.9,520.56,Pressure Cookers,4.4
14,935,Premium Square Plastic Container - Green,Beverages,Ready To Cook & Eat,Asian,55.25,111.2,"Banana, Sapota & Papaya",2.8
15,398,Lip Butter - Rose,Beauty & Hygiene,"Sausages, Bacon & Salami",PRISTINE,350.78,123.36,Tomatoes & Vegetables,2.4
16,616,Organic - Triphala Powder,Gourmet & World Food,Diapers & Wipes,Samvuddhi & Co,142.22,338.32,"Papads, Ready To Fry",
17,350,Solitaire Storage Transparent Pet Container Set - Green Lid,Beauty & Hygiene,Gourmet Breads,Command,36.39,230.46,Buckets & Mugs,3.8
18,205,Tulsi Mulethi Green Tea,"Foodgrains, Oil & Masala",Detergents & Dishwash,PRISTINE,41.89,310.79,Imported Noodles,
19,741,Chef Curated Marinade Pahadi,Cleaning & Household,Skin Care,Chymey,69.41,66.63,Kids (5+Yrs),5.0
20,950,"Body Bath Loofah/Sponge/Scrubber - Double Loop Hangable - Grey, BH011GRY","Foodgrains, Oil & Masala",Fresheners & Repellents,Pinnacle,127.01,678.87,"Baking, Cake Decorations",3.5
21,566,Extra Fine Green Peas,"Bakery, Cakes & Dairy",Tinned & Processed Food,T BASE,551.65,577.99,"Paneer, Tofu & Cream",3.2
22,938,Complete Detergent Washing Powder,Baby Care,"Mops, Brushes & Scrubs",Aloe Veda,227.4,164.78,"Healthy, Baked Snacks",
23,50,Jalapeno Pasta Sauce 385 g + Sriracha Chilli Sauce 185 g + Hot Sauce 75 ml,Beauty & Hygiene,Health & Medicine,Dove,480.8,217.47,Umbrella,
24,933,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Fresh Vegetables,Gebi ,18.28,43.23,Hand Wash & Sanitizers,4.6
25,884,Soya Milk - Vanilla,"Bakery, Cakes & Dairy",Skin Care,Tabasco,143.06,181.67,Instant Noodles,
26,520,Fiesta Serving Bowl With Serving Spoon - Assorted Colour,"Kitchen, Garden & Pets",Dairy & Cheese,Patanjali,302.48,978.37,Glassware,
27,755,Ragi Flakes,Beauty & Hygiene,Chocolates & Biscuits,Tata Sampann,826.49,79.44,Vacuum Flask,
28,155,"Cereal - Ragi, Rice & Mango With Milk","Kitchen, Garden & Pets",Fresh Vegetables,Super Saver,236.23,681.69,Tofu,
29,837,Acno Fight Pimple Clearing Gel,Gourmet & World Food,Snacks & Namkeen,Cambridge Tea Party,141.29,20.32,Bathing Bars & Soaps,4.4
30,891,Ragi - Whole,Snacks & Branded Foods,"Snacks, Dry Fruits, Nuts",Octavius,191.63,138.92,Gourmet Ice Cream,3.0
31,51,Amritsari Marinade,Cleaning & Household,Flask & Casserole,Habit,151.79,75.46,Pastas & Spaghetti,3.8
32,960,Peanut Brittle - With Jaggery,Gourmet & World Food,Oils & Vinegar,BB Home,154.61,49.92,Roasted Seeds & Nuts,
33,902,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Beverages,Skin Care,Soulfit,135.8,273.28,Ayurveda,
34,82,Face Scrub De Tan With Walnut Granules,Cleaning & Household,Organic Staples,PRISTINE,84.87,328.48,Disinfectant Spray & Cleaners,4.5
35,627,Singhara Atta - Gluten Free,Cleaning & Household,Skin Care,Garnier Men,79.95,369.36,"Healthy, Baked Snacks",2.9
36,983,Atlantic Salmon - Smoked  Presliced,"Bakery, Cakes & Dairy","Sauces, Spreads & Dips",Dettol,872.75,618.65,Imported Noodles,
37,644,Nizami Hyderabadi Cuisine,Fruits & Vegetables,Fish & Seafood,Pasabahce,60.23,60.12,Roasted Seeds & Nuts,3.9
38,627,Organic Rasam Ready Mix - Long Pepper,Beverages,Chocolates & Biscuits,Drools,67.45,291.79,Shampoo & Conditioner,
39,857,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Baby Care,Skin Care,Princeware,65.26,229.35,Face Care,4.1
40,769,Stevia Tablets Dispenser,"Foodgrains, Oil & Masala",Men's Grooming,MyGlamm,76.52,152.12,Powdered Spices,
41,498,Imperial Desert Set - Aqua Leaves,Fruits & Vegetables,Drinks & Beverages,TJORI,115.4,221.55,Cotton & Ear Buds,4.2
