,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,639,Shot Body Spray - Royal Jade,Gourmet & World Food,Health & Medicine,NaturoBell,96.87,11.03,Farm Eggs,3.6
1,755,Aqua Halo Rejuvenating Conditioner,"Bakery, Cakes & Dairy",Masalas & Spices,Safal,269.97,184.02,Cold Drinks,3.9
2,526,Aloe Vera - Organically grown,"Foodgrains, Oil & Masala","Spreads, Sauces, Ketchup",Eastern,48.33,43.88,Organic Masalas & Spices,
3,885,Glass Belleza Bowl - Wine,Snacks & Branded Foods,Masalas & Spices,Sunfeast,10.0,10.0,Air Freshener,4.2
4,851,Imitation - Crab Sticks,"Kitchen, Garden & Pets",Chocolates & Biscuits,Bobs Red Mill,106.61,10.0,Quinoa & Grains,
5,603,Cotton Mop With Telescopic Handle 150 Cm,"Foodgrains, Oil & Masala",Feminine Hygiene,Tabasco,10.0,10.0,Syrups & Concentrates,4.3
6,277,Spices - Whole White Pepper,"Kitchen, Garden & Pets",Skin Care,Tabasco,10.0,10.0,Basmati Rice,3.9
7,283,"Sanitary Pads - XL Plus Wings, Ultra",Snacks & Branded Foods,"Snacks, Dry Fruits, Nuts",Fresho,10.0,128.62,Face Care,3.5
8,432,Makhana - Himalayan Salt & Pepper,Beauty & Hygiene,Drinks & Beverages,Fresho,108.66,46.88,Other Dry Fruits,
9,809,"Organic, Fennel /Saunf/Sompu Powder",Beauty & Hygiene,Coffee,Dimples,457.6,10.0,Butter & Cream,
10,840,Happy Chef Pasta- Penne Rigate 500g +Sauce - Arrabiata 270g +Borges Olive Oil 1L,Beauty & Hygiene,Bakeware,Starbucks,453.26,148.16,Perfume,4.0
11,392,Twin Bucket Spin Mop - Green - 2 Refills,Cleaning & Household,Oils & Vinegar,Dairy Craft,12.16,10.0,Gourmet Juices & Drinks,3.3
12,448,Milk Boiler - Aluminium,Beauty & Hygiene,Exotic Fruits & Veggies,Ocean,349.11,403.54,Other Plastic Ware,4.0
13,349,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Gourmet & World Food,Storage & Accessories,Safe Harvest,639.88,80.05,Toilet Paper,3.9
14,893,Classic Sandalwood & Tulsi Hand Wash,Cleaning & Household,Masalas & Spices,Sancha,72.54,31.85,Pet Meals & Treats,3.9
15,9,Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance,Gourmet & World Food,"Pasta, Soup & Noodles",Lion,51.17,74.24,Electric Toothbrush,3.9
16,395,Choco Delite Bar,"Kitchen, Garden & Pets",Hair Care,bb Combo,17.57,495.91,Bowls & Vessels,
17,422,Lemongrass Anti-Pigmentation Massage Cream,"Kitchen, Garden & Pets",Fragrances & Deos,United Colors Of Benetton ,18.68,10.0,Hair Oil & Serum,3.9
18,684,Thyme,"Kitchen, Garden & Pets",Masalas & Spices,Fabelle,201.94,86.45,Hair Oil & Serum,3.9
19,881,UV Away Moist Jumbo Sun Block,Cleaning & Household,Diapers & Wipes,Organic Tattva,157.24,10.0,Hair Oil & Serum,3.7
20,319,Dates/Kharjura - Deseeded,Gourmet & World Food,Kitchen Accessories,Schwarzkopf,133.48,10.0,Disinfectant Spray & Cleaners,4.0
21,655,Hair Serum - Anti-Dandruff,Snacks & Branded Foods,"Sausages, Bacon & Salami",Pampers ,212.53,10.0,Face Care,
