,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,795,Bio Green - Apple Fresh Daily Purifying Shampoo & Conditioner,Cleaning & Household,Chocolates & Biscuits,Princeware,1315.93,1482.54,Containers Sets,4.1
1,529,"Diabetic Care - Apple Cider Vinegar Blended With Bermuda Grass, Guava Leaf Juice & Honey",Beauty & Hygiene,Bath & Hand Wash,Madhur,207.92,166.28,Ayurveda,3.8
2,129,"Finger Brush For Kids - Blue, Ultra Soft",Snacks & Branded Foods,Chocolates & Biscuits,Organic Tattva,797.79,1036.59,Pressure Cookers,
3,429,In-Shower Hair Removal Cream For Men & Women - Normal Skin,"Foodgrains, Oil & Masala",Bins & Bathroom Ware,PureFoods,64.36,105.32,Chocolates,3.8
4,286,"Menstrual Cup - Wings, Pratham","Kitchen, Garden & Pets",Organic Staples,Ifb,690.44,827.62,Face & Body,3.8
5,279,Meghdoot Honey Almond Body Lotion,Fruits & Vegetables,Drinks & Beverages,Pidilite,338.06,463.21,"Flavoured, Soya Milk",
6,760,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Snacks & Branded Foods,Storage & Accessories,Madhur,126.46,143.28,Breakfast & Snack Mixes,4.3
7,153,Pore Shrinking Face Pack,Beauty & Hygiene,Skin Care,Namyaa,152.74,193.21,Bathing Bars & Soaps,4.7
8,529,Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Hair Care,Himalaya Wellness,299.11,287.7,Imported Noodles,
9,393,Millet Idly & Dosa Batter,Gourmet & World Food,Fragrances & Deos,Organic Tattva,120.19,119.48,Namkeen & Savoury Snacks,4.2
10,281,Masala - Chicken,"Kitchen, Garden & Pets",Fragrances & Deos,Zebronics,182.1,187.78,Men's Deodorants,3.9
11,489,"Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized",Gourmet & World Food,Fruit Juices & Drinks,D-Alive,478.07,576.23,Cookies,3.5
12,288,Nuts & Seeds Bar,"Bakery, Cakes & Dairy",Chocolates & Candies,YVES ROCHER,149.72,182.67,Pet Meals & Treats,3.6
13,114,Floor Cleaner - Lime,Snacks & Branded Foods,Breakfast Cereals,AGARO,348.83,428.92,Tea Bags,
14,500,Nutrition & Health Drink - Pista Badam,Gourmet & World Food,Pet Food & Accessories,bb Royal,580.82,661.05,Garbage Bags,
15,86,Fruit Power - Masala Sugarcane,Fruits & Vegetables,Storage & Accessories,Premier,36.93,33.99,Flours & Pre-Mixes,3.9
16,862,Spices - Whole White Pepper,Cleaning & Household,Dairy & Cheese,Good knight,628.73,653.84,"Banana, Sapota & Papaya",
17,435,Organic Elicoidali Pasta,Gourmet & World Food,Hair Care,TGL Co.,253.11,299.16,Toothpaste,
18,318,Tawa Pav Bhaji Masala,Gourmet & World Food,Fresheners & Repellents,Colgate,370.75,345.16,Dinner Sets,
19,794,"Padded Lead - 1 inch, Blue Colour",Beauty & Hygiene,Health & Medicine,Cornitos,664.46,732.94,Face & Body,
20,900,Non Scratch Sponge,Gourmet & World Food,Drinks & Beverages,Bikaji,758.68,702.87,Hair & Scalp Treatment,3.3
21,975,"Puppy Dog Treat - Chicken & Liver Chunks, (Rs 25 Off ) Value Saver Pack",Beauty & Hygiene,Cooking & Baking Needs,Asian,1347.01,1598.66,Oats & Porridge,
22,744,Body Fragrance - Alexander,"Kitchen, Garden & Pets","Snacks, Dry Fruits, Nuts",Soft Touch,66.01,44.38,Granola & Cereal Bars,4.2
23,826,Hazelnut Kernel,"Kitchen, Garden & Pets","Sauces, Spreads & Dips",Sri Sri Ayurveda ,329.73,419.66,Organic Masalas & Spices,
24,109,Zucchini - Green,"Kitchen, Garden & Pets",Chocolates & Candies,ENE,280.52,245.01,Cooking Pastes,4.8
25,171,Meswak Toothpaste,"Kitchen, Garden & Pets",Pet Food & Accessories,Yardley London,559.63,614.58,Other Dry Fruits,4.4
26,617,Aloe Vera - Organically grown,Beauty & Hygiene,Stationery,By Nature,220.52,250.7,Lip Care,4.4
27,133,Green Tea Gentle Detox Set,"Foodgrains, Oil & Masala",Men's Grooming,Lakme,155.17,152.05,"Mops, Wipers",4.7
28,785,Cheesy Corn Triangles,Beauty & Hygiene,Organic Staples,bb Royal,426.39,478.09,Chocolates,
29,637,Organic - Parmal Rice,"Foodgrains, Oil & Masala",Fragrances & Deos,Ratan,126.06,142.32,Pet Meals & Treats,2.6
30,804,Organic - Sambar Powder,"Kitchen, Garden & Pets",Cooking & Baking Needs,Baidyanath,221.01,182.64,Steel Storage Containers,
31,744,"Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5",Gourmet & World Food,Hair Care,Qraa Men,819.11,900.76,Cooking Pastes,
32,576,Con Con Corn Chips - BBQ,"Foodgrains, Oil & Masala",Cuts & Sprouts,Soft Touch,112.98,225.19,Farm Eggs,3.6
33,905,Light Soy Sauce - Reduced Salt,"Kitchen, Garden & Pets",Chocolates & Candies,Cafe Junyali,567.36,651.44,Sports & Energy Drinks,
34,139,"Pomegranate - Single Serve, Peeled",Cleaning & Household,Appliances & Electricals,Tulips,425.71,347.32,"Luxury Chocolates, Gifts",
35,6,Cheddar - English,Fruits & Vegetables,Pet Food & Accessories,Godrej Protekt,97.42,131.85,Face Masks & Safety Gears,
36,104,"Body Bath Loofah/Sponge/Scrubber - Double Loop Hangable - Grey, BH011GRY",Gourmet & World Food,Storage & Accessories,Beeta,402.38,424.99,Breakfast & Snack Mixes,4.7
37,254,Henko Detergent Bar - Stain Care 250 gm + Mr. White Detergent Powder 1 kg Pouch,Beauty & Hygiene,Health & Medicine,Earthon,498.77,636.18,Dry Fruits & Berries,
38,31,Darjeeling White Teabags - Reeti,"Kitchen, Garden & Pets",Masalas & Spices,Wipro,564.59,486.02,Organic Vegetables,4.3
39,470,Jungle Stimulating Facial Cleanser,Gourmet & World Food,Skin Care,Yoga bar,579.49,634.7,"Jams, Marmalade, Spreads",4.4
40,20,Lemon - Organically Grown,Beauty & Hygiene,Skin Care,Himalaya,450.49,494.99,Water & Fridge Bottles,3.6
41,54,Choco Deck - French Dessert Inspired Layered Bar,Gourmet & World Food,Fresh Vegetables,Godrej Protekt,700.49,684.3,Organic Vegetables,4.6
42,306,"Sauce - Bhut Jolokia, Sweet Chilli",Beauty & Hygiene,"Snacks, Dry Fruits, Nuts",Slurrp Farm,43.54,46.25,Ayurveda,4.7
43,655,"LED Bulb - 12 Watt, Cool White, B22","Kitchen, Garden & Pets",Crockery & Cutlery,ST. D'VENCE,558.62,534.58,Pastas & Spaghetti,
44,659,Multigrain Chips - Dahi Papdi Chaat,Gourmet & World Food,Storage & Accessories,Paper Boat,898.22,789.51,Shampoo & Conditioner,
45,179,Storage/Lunch Steel Container with PP Lid - Red,Fruits & Vegetables,Frozen Veggies & Snacks,Nutriplate,663.32,573.25,Muesli,
46,903,Taft Ultimate Hair Lacquer Ultimately Strong 6,"Kitchen, Garden & Pets",Organic Staples,Classmate,483.06,563.96,Juices,
47,558,"Pure Maple Syrup - Product Of Canada, Grade A, Robust Taste","Eggs, Meat & Fish",Diapers & Wipes,Fresho Signature,340.59,484.94,Face & Body,4.6
48,50,Masala - Birayani Pulao,Beauty & Hygiene,Bath & Hand Wash,Kohinoor,486.91,634.97,Powdered Spices,3.8
49,167,Rejuvenating Cucumber & Aloe Vera Face Pack For Skin,Beauty & Hygiene,Skin Care,Dukes,139.46,126.98,Bathing Bars & Soaps,
50,913,"Steel Storage/Lunch Container- No.1, Blue, Klip It",Cleaning & Household,Snacks & Namkeen,Fresho,52.18,87.1,Organic Dals & Pulses,3.5
51,869,Chia Seeds,Gourmet & World Food,Ready To Cook & Eat,True Elements,1176.3,1454.12,Supplements & Proteins,
52,551,Dark Chocolate- 55% Rich In Cocoa,Cleaning & Household,Rice & Rice Products,Teamonk,401.17,481.31,Flavoured & Other Oils,3.5
53,425,Sensitive - With Anti-Sensitivity & Fluoride Toothpaste,Cleaning & Household,"Cookies, Rusk & Khari",Command,164.11,299.79,Salad Dressings,4.5
