,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,499,Organic Kala Chana,Cleaning & Household,Stationery,Cornitos,10.0,10.0,Water & Fridge Bottles,3.6930839020803448
1,340,Ayurvedic Jamun Powder,"Foodgrains, Oil & Masala",Storage & Accessories,Slurrp Farm,10.0,10.0,"Organic Edible Oil, Ghee",4.588806227777096
2,209,Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue,Gourmet & World Food,Fragrances & Deos,Reliance Plast,876.7350183113716,715.2424675820996,"Laundry, Storage Baskets",
3,1,Plastic Clip Mop - 350,Beauty & Hygiene,Bath & Hand Wash,Malabar Coast,10.0,10.0,Steel Storage Containers,3.279057034567919
4,250,Acno Fight Pimple Clearing Gel,"Kitchen, Garden & Pets",Biscuits & Cookies,Safe Harvest,422.61159946362125,300.0201301559079,Nachos & Chips,4.666143524822384
5,672,Dressing - Creamy Caesar,Gourmet & World Food,Skin Care,Maxkleen,765.4732037550306,842.8907714226928,Oats & Porridge,
6,386,PP Apple Belt,Gourmet & World Food,Bath & Hand Wash,Nakoda,1041.3360047648416,1170.7966508050977,Blended Masalas,
7,84,Secondary Class Students - Online Learning,"Foodgrains, Oil & Masala",Tea,Treo,170.15662046269114,215.8798259108107,Toothpaste,3.4968615151450857
8,459,Nomarks - Antimarks Soap For Normal Skin,Gourmet & World Food,Drinks & Beverages,Malabar Coast,10.0,10.0,Hair Oil & Serum,
9,541,Pumpkin - Organically Grown,"Kitchen, Garden & Pets",All Purpose Cleaners,Koka,10.0,10.0,"Cut Fruit, Tender Coconut",2.8351542828279648
10,770,Madrid - Dessert Spoons,"Foodgrains, Oil & Masala",Tinned & Processed Food,PIPO,218.6597947350196,255.58769896998007,Face Masks & Safety Gears,3.9508873549376458
11,579,"Plastic Bucket With Handle - Off Ivory, New Nova, 15400",Beauty & Hygiene,Crockery & Cutlery,Garnier Men,514.8381783970189,579.1627639428814,"Baking, Cake Decorations",3.8992229909908462
12,280,Glass Mixing Bowl With Lid - Polo,Gourmet & World Food,Masalas & Spices,Tulips,1088.8565675949485,1206.499384621513,Whole Spices,4.552287329242345
13,401,Ayurvedic Soap,Gourmet & World Food,Stationery,MAGGI ,577.6780899315704,646.3853993070611,"Curry Paste, Coconut Milk",3.0413431092092322
14,743,"Steel Storage/Lunch Container - No.21, Pink, Klip It",Snacks & Branded Foods,Hair Care,Koka,86.7192360650449,236.85232845206465,Shampoo & Conditioner,
15,620,Taft Ultimate Hair Lacquer Ultimately Strong 6,Beauty & Hygiene,Skin Care,Miaow Miaow,365.68794856836774,518.2734314296813,Blended Masalas,3.7538072233957847
16,169,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Hair Care,Mysore Sandal,312.83195716516275,557.974157190731,"Pure, Pomace Olive Oil",3.2345032982608286
17,565,"Adult Dry Cat Food - +1 Year, Ocean Fish",Gourmet & World Food,Oils & Vinegar,Super Saver,399.60499388631655,627.378506755427,Whole Spices,
18,682,Solitaire Storage Transparent Pet Container Set - Green Lid,"Foodgrains, Oil & Masala",Baby Food & Formula,Gebi ,782.0459633727594,1131.4257215544458,Urad & Other Dals,3.3945755192010445
19,413,Evening Primrose Oil - Vegetarian Capsule (500 mg),Beauty & Hygiene,Stationery,Safe Harvest,240.51758069548657,436.34553628412846,International Cheese,
20,242,Eau De Toilette - Homme Green,Snacks & Branded Foods,Chocolates & Biscuits,Colgate,1306.5590069913674,1558.1334577599723,Cotton & Ear Buds,3.2238953793960285
