,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,793,Cookies - Atta Desi Ghee,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Real,51.12,76.97,"Flavoured, Soya Milk",3.9
1,958,Solitaire Storage Transparent Pet Container Set - Green Lid,Beauty & Hygiene,Storage & Accessories,INATUR ,430.09,217.7,Containers Sets,2.7
2,925,Pain Relief Cream,Beauty & Hygiene,Organic Staples,Dabur,129.4,36.25,Bathing Bars & Soaps,4.2
3,225,7 O Click - Permasharp Stainless Blade,Beauty & Hygiene,Bath & Hand Wash,Red Hunt,102.11,136.58,Shaving Care,4.4
4,245,Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster,Beauty & Hygiene,Hair Care,Soulflower,343.61,500.46,Face Care,4.0
5,727,Assam Tea,"Kitchen, Garden & Pets",Drinks & Beverages,BB Home,261.9,369.47,Gourmet Tea & Tea Bags,3.9
6,969,"Plastic Bucket With Handle - Off Ivory, New Nova, 15400",Snacks & Branded Foods,Bins & Bathroom Ware,Bechef,332.78,171.08,"Laundry, Storage Baskets",4.4
7,115,Henko Detergent Bar - Stain Care 250 gm + Mr. White Detergent Powder 1 kg Pouch,Cleaning & Household,Stationery,Fresho,27.41,105.27,"Pen, Pencils",
8,848,Pizza Topping,Gourmet & World Food,Cooking & Baking Needs,Nestle ,358.76,178.74,"Olive, Jalapeno, Gherkin",4.3
9,943,"Hangable Dress Shaped Hand/Basin Towel - Cream, Bh-038 Crm",Beauty & Hygiene,Health & Medicine,BB Home,179.57,211.3,Gourmet Juices & Drinks,
10,807,Prosto-8 Tablet,Beauty & Hygiene,"Snacks, Dry Fruits, Nuts",Meghdoot,58.39,142.7,"Healthy, Baked Snacks",3.9
11,931,Fruit Power Juice- Mixed Berries,Beverages,Fruit Juices & Drinks,Real,85.84,135.17,Juices,
12,799,Complete Detergent Washing Powder,Snacks & Branded Foods,Feeding & Nursing,Murginns,46.39,176.1,"Detergent Powder, Liquid",4.0
13,1000,Perfume - Youth Dew EDP Spray,Beauty & Hygiene,Drinks & Beverages,Jaguar,499.12,661.73,Eau De Toilette,
14,162,After Shave Splash - Arctic Ice,Beauty & Hygiene,Skin Care,Dabur,98.04,119.65,Face Care,3.9
15,965,Sunlite Spray,Beauty & Hygiene,Hair Care,Kaya Clinic,704.4,543.47,Face Care,
16,200,Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue,"Kitchen, Garden & Pets",Steel Utensils,DP,346.93,699.49,Lunch Boxes,3.9
17,1000,Sauce - Sweet & Sour,Gourmet & World Food,"Sauces, Spreads & Dips",Pantai,414.77,126.13,Thai & Asian Sauces,4.3
18,278,"Sanitary Pads - XL Plus Wings, Ultra",Snacks & Branded Foods,Organic Staples,bb Royal,168.52,197.0,Organic Masalas & Spices,4.2
19,313,Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue,"Kitchen, Garden & Pets",Steel Utensils,DP,269.71,287.1,Choppers & Graters,1.6
20,928,"Coco Oval Basket With Lid - Medium, Assorted Colour",Gourmet & World Food,Drinks & Beverages,Nakoda,370.54,454.34,Imported Cleaners,3.4
21,776,Mint Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices,Eastern,49.38,183.32,Herbs & Seasoning,4.1
22,898,Opalware Classique 2 Dinner Set - Mystrio Black,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,204.74,859.16,Glassware,3.9
23,804,Room Air Freshener Spray - Rose Garden,Snacks & Branded Foods,Ready To Cook & Eat,Odonil ,88.13,71.45,Air Freshener,4.1
24,614,Amaranth Grains,"Foodgrains, Oil & Masala",Cooking & Baking Needs,bb Royal,207.13,288.35,"Organic Rice, Other Rice",4.0
25,182,"Basting Brush Kitchen Oil Cooking Tool - Silicon Plastic, Pink/Peach Assorted, BB1166",Gourmet & World Food,Cooking & Baking Needs,GoodDiet,408.96,219.34,Men's Deodorants,4.3
26,301,"Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver","Kitchen, Garden & Pets",Cookware & Non Stick,United,4374.25,321.93,Pressure Cookers,4.0
27,186,Face Wash - Blush & Glow Strawberry Gel,Beauty & Hygiene,Hair Care,Lakme,428.03,166.4,Bathing Bars & Soaps,3.9
28,866,Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance,Cleaning & Household,Detergents & Dishwash,Fresho,100.52,94.17,Disinfectant Spray & Cleaners,
29,876,"Steel Spoon set - Ice cream, Monde","Kitchen, Garden & Pets",Crockery & Cutlery,IRICH,300.52,375.93,Choppers & Graters,2.9
30,903,Amaranth Grains,Gourmet & World Food,Cooking & Baking Needs,Fresho Signature,89.02,238.08,Dry Fruits & Berries,
31,895,Nizami Hyderabadi Cuisine,Snacks & Branded Foods,Cooking & Baking Needs,GoodDiet,71.69,257.49,"Curry Paste, Coconut Milk",3.9
32,814,Fruit Power Juice- Mixed Berries,"Bakery, Cakes & Dairy",Fruit Juices & Drinks,Fresho,49.25,155.77,Juices,
33,884,Amritsari Marinade,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,160.57,98.57,Herbs & Seasoning,4.1
34,204,Chocolate Flavoured Lubes,Beauty & Hygiene,Feminine Hygiene,Veet,189.45,212.7,Face & Body,4.0
35,160,Synthetic Food Colour Preparation Lemon Yellow,"Foodgrains, Oil & Masala",Masalas & Spices,999,37.42,48.2,Chips & Corn Snacks,3.9
36,744,Hareli Kitchen Jar,Beauty & Hygiene,Skin Care,Pasabahce,478.49,625.44,Glassware,
37,248,Oat Krunch - Dark Chocolate,Gourmet & World Food,Chocolates & Biscuits,Munchys,53.52,89.07,"Cookies, Biscotti, Wafer",4.1
38,211,Touch 'N' Fresh - Wild Lavender,Gourmet & World Food,Ready To Cook & Eat,HappyChef,83.53,58.11,Heat & Eat Ready Meals,3.9
39,853,"Oregano - Organic, USDA Certified","Foodgrains, Oil & Masala",Masalas & Spices,Geo-Fresh,177.49,62.24,Herbs & Seasoning,4.2
40,815,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,433.08,441.0,Aromatherapy,2.7
41,224,"Menstrual Cup - Wings, Pratham",Beauty & Hygiene,Storage & Accessories,Stonesoup,302.68,288.65,Face Care,2.3
42,569,Cashew/Kaju Whole Small W320 500g + Raisins/Kishmish - Indian 500g,"Foodgrains, Oil & Masala",Dry Fruits,Fresho Signature,148.84,228.29,Other Dry Fruits,
43,710,"Confeito Rainbow Vermicelli, Sprinkles",Gourmet & World Food,Cooking & Baking Needs,Wow Confetti,220.75,310.04,Men's Deodorants,3.9
44,142,Chilli Flakes,Beauty & Hygiene,Bath & Hand Wash,Himalaya,174.29,128.12,"Herbs, Seasonings & Rubs",4.3
45,177,Basmati Rice/Basmati Akki - Rozana Super 90,Snacks & Branded Foods,Detergents & Dishwash,Paper Boat,166.37,163.44,Basmati Rice,3.9
46,898,Baby Oil With Fruit Extracts,Gourmet & World Food,Drinks & Beverages,Fresho Signature,406.51,227.23,"Curry Paste, Coconut Milk",
47,943,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Breakfast Cereals,Cadbury,258.62,172.36,Baby Food,4.3
48,942,Bombay Street Food Spice Blend,Gourmet & World Food,Cooking & Baking Needs,Dabur,124.33,387.91,"Curry Paste, Coconut Milk",4.2
49,761,School/Stationery Kit,Gourmet & World Food,Chocolates & Biscuits,Earthon,101.67,22.58,"Cookies, Biscotti, Wafer",4.2
50,969,"100% Whey Protein, Rich Chocolate",Beauty & Hygiene,Hair Care,IN2,276.85,135.67,Face Care,4.0
51,922,Chia Seeds,"Foodgrains, Oil & Masala",Breakfast Cereals,HappyChef,126.58,227.64,Oats & Porridge,
52,227,Organic - Green Peas/Ona Batani,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,44.46,21.81,Organic Masalas & Spices,4.0
53,926,"Toothbrush - 360 Degree Flosstip, Soft",Beauty & Hygiene,Bath & Hand Wash,Himalaya,185.24,105.42,Toothpaste,4.3
54,854,"Oregano - Organic, USDA Certified","Foodgrains, Oil & Masala",Masalas & Spices,Geo-Fresh,169.8,144.16,Powdered Spices,4.4
55,129,Fields Of Gold Organic Foxtail Millet,Snacks & Branded Foods,Chocolates & Candies,Cadbury,185.24,158.53,Chocolates,4.5
56,222,Pure Aloe Vera Gel,Beauty & Hygiene,Bath & Hand Wash,Himalaya,114.84,89.24,Face Care,4.5
57,911,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,171.21,35.8,"Utensil Scrub-Pad, Glove",4.3
58,183,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Colgate,71.52,32.25,Bathing Bars & Soaps,4.2
59,745,Pad Thai Noodles,"Foodgrains, Oil & Masala",Cooking & Baking Needs,Cadbury,138.5,148.33,"Curry Paste, Coconut Milk",4.3
60,825,Hazelnut Kernel,Gourmet & World Food,Organic Staples,Organic Tattva,129.83,30.98,"Baking, Cake Decorations",3.9
61,177,Pet Food - Variety Stix,Gourmet & World Food,Pet Food & Accessories,Jerhigh,463.34,957.08,Pet Meals & Treats,
62,1000,After Shave Splash - Arctic Ice,Beauty & Hygiene,Health & Medicine,Dabur,88.35,139.23,Ayurveda,3.9
63,845,Sauce - Chilli,"Kitchen, Garden & Pets","Sauces, Spreads & Dips",Nakoda,253.08,193.07,Choppers & Graters,4.4
64,970,Olive Oil - Classic,Gourmet & World Food,Oils & Vinegar,BORGES,282.69,464.27,Pastas & Spaghetti,
65,805,Chai/100% Melamine Water/Juice Tumbler - Red,"Kitchen, Garden & Pets",Drinks & Beverages,Iveo ,394.41,421.12,Glassware,3.9
66,138,Chocolate Flavoured Lubes,"Kitchen, Garden & Pets",Kitchen Accessories,DP,123.25,146.54,Containers Sets,3.9
67,876,Sriracha Hot Chilli Sauce,Gourmet & World Food,"Sauces, Spreads & Dips",So Sweet,368.05,172.59,Shampoo & Conditioner,4.3
68,82,Hair Serum - Anti-Dandruff,Beauty & Hygiene,Hair Care,Aroma Magic ,246.01,418.58,Aromatherapy,3.3
69,961,Happy Chef Pasta- Penne Rigate 500g +Sauce - Arrabiata 270g +Borges Olive Oil 1L,"Kitchen, Garden & Pets",Pet Food & Accessories,FNS,1787.25,5502.27,Glassware,3.9
70,162,Hydro Replenish Radiance Day Crème with SPF 15,Beauty & Hygiene,Hair Care,Dettol,131.63,70.57,Face Care,4.3
71,957,Glass Amaze Air Tight Jar - Pink,Beauty & Hygiene,Storage & Accessories,Iveo ,329.53,241.84,Glassware,3.9
72,715,Veggie Cutter,"Kitchen, Garden & Pets",Fragrances & Deos,Nakoda,272.37,291.22,Choppers & Graters,3.9
73,870,Eggless Mayonnaise Dip,Gourmet & World Food,Drinks & Beverages,bb Combo,256.95,136.9,Health Drinks,
