,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-121.2,38.49,23.0,2063.0,,1000.0,293.0,1.6258,69740.0,INLAND
1,-120.44,32.72,17.0,8503.0,,2780.0,1228.0,1.2885,117780.0,INLAND
2,-117.83,33.88,26.0,2009.0,,1265.0,419.0,1.5426,84022.0,<1H OCEAN
3,-117.44,32.78,6.0,3983.0,359.0,734.0,497.0,2.1323,186990.0,<1H OCEAN
4,-118.21,33.89,42.0,1362.0,,1129.0,655.0,1.7066,206635.0,<1H OCEAN
5,-117.94,32.79,5.0,2011.0,,483.0,218.0,4.2375,257267.0,NEAR OCEAN
6,-119.24,36.16,31.0,1822.0,,722.0,493.0,3.498,57267.0,INLAND
7,-122.25,37.89,30.0,2196.0,536.0,691.0,544.0,3.4734,226492.0,ISLAND
8,-119.17,35.16,30.0,2517.0,,1070.0,337.0,2.5872,76858.0,INLAND
9,-122.58,39.04,26.0,2108.0,,1100.0,291.0,2.4652,160437.0,NEAR BAY
10,-118.05,33.94,52.0,1660.0,190.0,834.0,360.0,6.0717,370386.0,<1H OCEAN
11,-118.02,34.1,52.0,2935.0,302.0,883.0,460.0,5.1403,207564.0,<1H OCEAN
12,-122.5,34.18,32.0,3041.0,359.0,663.0,241.0,2.8825,195668.0,<1H OCEAN
13,-118.28,33.91,36.0,3378.0,601.0,1870.0,558.0,4.4653,275077.0,<1H OCEAN
14,-122.3,37.57,8.0,1744.0,178.0,511.0,180.0,3.9627,478522.0,NEAR BAY
15,-122.45,37.67,35.0,2095.0,410.0,1099.0,585.0,4.8585,462597.0,<1H OCEAN
16,-117.09,32.86,27.0,3494.0,,960.0,229.0,6.4148,498988.0,<1H OCEAN
17,-118.01,33.88,41.0,661.0,433.0,41.0,263.0,2.677,118966.0,<1H OCEAN
18,-119.81,34.03,34.0,748.0,229.0,395.0,41.0,3.6158,150429.0,INLAND
19,-119.04,36.14,28.0,578.0,,742.0,305.0,3.6537,139817.0,INLAND
20,-119.33,37.66,25.0,960.0,,941.0,761.0,9.401,89288.0,<1H OCEAN
21,-122.18,38.75,29.0,4533.0,985.0,1806.0,1511.0,6.589,500001.0,<1H OCEAN
22,-120.13,36.54,31.0,1608.0,,355.0,264.0,2.792,117332.0,INLAND
23,-118.39,34.01,34.0,3070.0,554.0,1749.0,662.0,2.3004,256438.0,INLAND
24,-117.35,34.18,18.0,86.0,191.0,105.0,158.0,2.1294,132084.0,INLAND
25,-117.81,33.77,32.0,877.0,,968.0,200.0,1.9322,63716.0,INLAND
26,-117.96,33.93,28.0,1688.0,289.0,620.0,274.0,3.4731,105904.0,<1H OCEAN
27,-122.47,38.86,27.0,2414.0,409.0,1329.0,591.0,3.9403,194358.0,NEAR BAY
28,-122.05,40.48,42.0,345.0,,448.0,198.0,2.1081,92998.0,<1H OCEAN
29,-118.27,33.82,25.0,5479.0,,1602.0,1094.0,5.1846,187620.0,<1H OCEAN
30,-118.24,33.98,31.0,1926.0,,341.0,356.0,3.4818,369049.0,<1H OCEAN
31,-116.92,32.72,29.0,1383.0,,392.0,111.0,3.2434,107152.0,INLAND
32,-117.16,37.24,7.0,1883.0,,960.0,252.0,5.2881,261171.0,<1H OCEAN
33,-117.59,33.83,43.0,1848.0,275.0,547.0,302.0,5.1346,339272.0,<1H OCEAN
34,-118.46,34.09,40.0,1577.0,310.0,1133.0,461.0,2.7809,171553.0,<1H OCEAN
35,-122.4,37.69,10.0,7305.0,,2827.0,1411.0,5.1393,246019.0,INLAND
36,-122.08,37.65,26.0,7215.0,1001.0,1733.0,491.0,3.1195,124527.0,INLAND
37,-118.19,33.87,21.0,6369.0,854.0,3608.0,830.0,2.096,176773.0,<1H OCEAN
38,-122.31,34.57,21.0,991.0,,254.0,109.0,5.5407,384898.0,NEAR OCEAN
39,-117.96,33.88,42.0,1473.0,,421.0,133.0,1.5419,47855.0,<1H OCEAN
40,-118.13,34.05,29.0,477.0,,403.0,45.0,3.0892,261835.0,<1H OCEAN
