,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-122.2,38.52,50.0,2339.0,350.0,824.0,349.0,1.3418,131270.0,NEAR BAY
1,-122.28,37.68,34.0,1704.0,442.0,1705.0,646.0,4.2002,175879.0,NEAR BAY
2,-117.16,33.13,15.0,6354.0,1612.0,1686.0,1047.0,9.8843,230045.0,NEAR OCEAN
3,-120.6,38.89,2.0,2879.0,419.0,532.0,1416.0,3.9894,35975.0,INLAND
4,-118.96,37.74,18.0,5921.0,938.0,3294.0,897.0,2.7554,70251.0,INLAND
5,-118.36,33.24,37.0,1402.0,,807.0,329.0,3.5042,172258.0,NEAR OCEAN
6,-118.18,33.65,20.0,2564.0,647.0,1775.0,515.0,5.5999,271690.0,<1H OCEAN
7,-118.98,33.8,35.0,2396.0,381.0,1139.0,275.0,1.39,70441.0,INLAND
8,-121.99,37.78,18.0,3047.0,860.0,1975.0,492.0,3.8489,500001.0,INLAND
9,-118.25,33.98,42.0,2585.0,403.0,957.0,134.0,8.3823,321052.0,INLAND
10,-122.03,37.6,44.0,2315.0,305.0,718.0,256.0,1.6579,96316.0,INLAND
11,-118.34,33.62,51.0,273.0,342.0,516.0,197.0,1.6044,413891.0,<1H OCEAN
12,-117.45,33.9,19.0,7534.0,1202.0,4186.0,782.0,5.7547,195183.0,NEAR OCEAN
13,-122.19,38.42,27.0,1839.0,479.0,831.0,336.0,3.7756,168212.0,NEAR BAY
14,-118.18,33.85,36.0,589.0,267.0,999.0,164.0,1.7417,143348.0,INLAND
15,-119.83,39.11,3.0,1692.0,97.0,249.0,494.0,2.1995,108970.0,INLAND
16,-117.18,32.88,29.0,4786.0,,1420.0,610.0,4.2912,256093.0,NEAR OCEAN
17,-121.92,37.23,20.0,2418.0,407.0,785.0,365.0,5.864,284148.0,<1H OCEAN
18,-123.3,39.44,12.0,2713.0,816.0,2656.0,708.0,4.0031,238881.0,NEAR OCEAN
19,-117.3,34.0,33.0,2519.0,,1286.0,539.0,4.0789,152986.0,NEAR OCEAN
20,-118.24,33.9,25.0,2117.0,,1351.0,493.0,2.5746,302615.0,<1H OCEAN
21,-121.77,38.97,19.0,3050.0,392.0,926.0,630.0,3.541,437801.0,<1H OCEAN
22,-120.01,34.77,12.0,754.0,345.0,788.0,261.0,1.8349,74845.0,INLAND
23,-118.12,38.19,38.0,2.0,,713.0,163.0,0.7233,134433.0,NEAR OCEAN
24,-117.06,33.93,31.0,3236.0,637.0,3894.0,431.0,4.6423,247303.0,INLAND
25,-117.36,32.6,29.0,1793.0,,762.0,464.0,3.3183,189955.0,NEAR OCEAN
26,-117.28,32.94,15.0,988.0,380.0,767.0,239.0,3.7177,147971.0,INLAND
27,-118.49,34.23,30.0,1003.0,370.0,1320.0,285.0,4.7697,160968.0,<1H OCEAN
28,-122.11,37.86,37.0,2906.0,683.0,1700.0,569.0,4.1085,250121.0,NEAR BAY
29,-118.15,33.74,33.0,1529.0,501.0,1641.0,417.0,5.01,227600.0,<1H OCEAN
30,-122.07,37.78,36.0,3040.0,,970.0,523.0,3.7024,284829.0,NEAR BAY
31,-118.02,33.8,47.0,199.0,,244.0,198.0,1.5072,347675.0,NEAR OCEAN
32,-118.09,33.48,30.0,1986.0,413.0,1664.0,543.0,3.7201,224150.0,<1H OCEAN
33,-117.3,32.82,40.0,1215.0,321.0,326.0,274.0,3.7867,500001.0,NEAR OCEAN
34,-121.72,37.48,33.0,1257.0,,775.0,312.0,11.1968,397331.0,NEAR OCEAN
35,-122.23,37.67,47.0,4521.0,505.0,2938.0,886.0,2.559,216114.0,<1H OCEAN
36,-117.95,33.82,32.0,2209.0,337.0,1190.0,477.0,14.2146,307820.0,<1H OCEAN
37,-117.0,32.73,45.0,1699.0,376.0,774.0,483.0,1.1563,101222.0,NEAR OCEAN
38,-121.41,37.83,52.0,111.0,240.0,582.0,84.0,1.1679,82955.0,INLAND
39,-117.22,32.54,35.0,1852.0,,2029.0,485.0,4.3188,213373.0,NEAR OCEAN
40,-119.4,33.91,23.0,11236.0,1620.0,1896.0,583.0,7.8722,372407.0,<1H OCEAN
41,-121.71,37.48,19.0,1762.0,781.0,1828.0,633.0,8.8237,258210.0,<1H OCEAN
42,-118.29,33.87,38.0,2.0,126.0,211.0,41.0,1.8964,152516.0,NEAR OCEAN
43,-116.9,33.99,33.0,718.0,149.0,317.0,137.0,1.4897,116791.0,INLAND
44,-122.15,37.26,14.0,2362.0,,744.0,256.0,6.1946,483616.0,NEAR OCEAN
45,-122.36,37.68,51.0,4371.0,800.0,968.0,728.0,2.1511,294103.0,NEAR BAY
46,-122.05,36.21,24.0,3439.0,,1589.0,621.0,5.5927,361780.0,NEAR BAY
47,-119.89,37.0,24.0,2190.0,412.0,1423.0,2725.0,3.3021,281195.0,INLAND
48,-118.14,33.91,26.0,2507.0,588.0,1476.0,693.0,4.5179,177574.0,<1H OCEAN
49,-115.89,33.88,1.0,9978.0,2144.0,4000.0,995.0,3.0115,85604.0,INLAND
50,-122.24,38.39,52.0,2925.0,763.0,1013.0,315.0,5.0564,376950.0,NEAR BAY
51,-121.62,37.24,35.0,1085.0,,1231.0,235.0,1.6641,98020.0,INLAND
52,-121.62,38.45,24.0,472.0,228.0,793.0,363.0,1.6166,72825.0,INLAND
53,-121.17,38.24,27.0,251.0,119.0,3.0,212.0,4.6483,414640.0,NEAR OCEAN
54,-121.86,37.31,8.0,1554.0,327.0,668.0,228.0,4.5309,268815.0,INLAND
55,-118.23,34.03,46.0,473.0,276.0,831.0,107.0,1.7891,120598.0,INLAND
56,-124.29,40.64,32.0,1485.0,582.0,738.0,334.0,1.4664,201013.0,NEAR OCEAN
57,-117.87,34.14,34.0,6126.0,652.0,3473.0,967.0,5.2716,156068.0,<1H OCEAN
58,-121.95,37.32,28.0,3190.0,530.0,890.0,578.0,6.0789,418832.0,<1H OCEAN
59,-117.89,33.96,35.0,2946.0,,1674.0,506.0,3.4952,500001.0,<1H OCEAN
60,-117.19,32.54,30.0,2842.0,446.0,969.0,449.0,3.7985,125340.0,NEAR OCEAN
61,-122.45,37.45,52.0,3246.0,958.0,909.0,366.0,2.1719,220318.0,NEAR BAY
62,-118.17,33.97,33.0,413.0,,166.0,154.0,0.6852,134322.0,<1H OCEAN
63,-118.23,33.88,7.0,9306.0,1635.0,4487.0,1385.0,4.3606,254494.0,<1H OCEAN
64,-120.67,33.9,29.0,2289.0,357.0,872.0,262.0,1.3749,64627.0,INLAND
65,-121.95,37.51,8.0,2525.0,466.0,1155.0,396.0,4.3945,415674.0,<1H OCEAN
66,-118.08,33.3,28.0,2705.0,,3135.0,2221.0,4.6709,200124.0,<1H OCEAN
67,-122.03,37.37,13.0,2769.0,336.0,583.0,210.0,5.0893,170303.0,NEAR BAY
68,-122.32,37.62,22.0,119.0,73.0,270.0,133.0,1.4621,68342.0,INLAND
69,-119.23,37.84,11.0,5483.0,1282.0,2420.0,531.0,4.1079,221330.0,INLAND
70,-119.85,37.97,12.0,10782.0,1513.0,4166.0,1177.0,4.9776,199792.0,INLAND
71,-117.1,33.72,43.0,1955.0,394.0,675.0,304.0,4.0462,134173.0,NEAR BAY
72,-123.5,33.9,43.0,3068.0,378.0,1048.0,347.0,2.9836,109354.0,INLAND
73,-118.35,34.19,45.0,2005.0,395.0,740.0,204.0,2.9286,183075.0,<1H OCEAN
74,-118.36,32.67,45.0,1677.0,,967.0,373.0,1.2512,149133.0,NEAR OCEAN
75,-120.48,34.01,37.0,269.0,309.0,670.0,163.0,1.5788,56157.0,INLAND
76,-122.38,37.61,52.0,728.0,247.0,321.0,240.0,1.0698,443070.0,NEAR BAY
77,-122.19,38.86,52.0,2624.0,601.0,942.0,537.0,2.9993,171865.0,NEAR BAY
78,-118.58,34.16,23.0,796.0,311.0,943.0,149.0,1.5851,500001.0,NEAR OCEAN
79,-118.29,33.94,42.0,678.0,421.0,1273.0,280.0,2.354,169546.0,<1H OCEAN
80,-122.09,37.68,28.0,4683.0,1278.0,1818.0,724.0,11.2134,208518.0,INLAND
81,-121.4,37.82,38.0,1660.0,312.0,940.0,176.0,2.7618,161156.0,INLAND
82,-122.05,37.95,52.0,489.0,,888.0,56.0,6.2102,135675.0,NEAR BAY
83,-122.37,38.83,33.0,2105.0,328.0,933.0,652.0,5.0223,498321.0,NEAR OCEAN
84,-118.4,34.08,20.0,3363.0,693.0,1012.0,545.0,5.9826,500001.0,<1H OCEAN
85,-122.78,37.6,49.0,1167.0,318.0,446.0,261.0,1.5833,143663.0,NEAR BAY
86,-118.38,34.06,52.0,2052.0,,813.0,289.0,4.0026,500001.0,NEAR OCEAN
87,-117.08,32.66,26.0,718.0,367.0,729.0,308.0,1.9149,274790.0,NEAR OCEAN
88,-122.33,37.65,22.0,3120.0,894.0,1485.0,457.0,6.1316,249136.0,NEAR BAY
89,-117.29,32.82,37.0,3533.0,,1136.0,502.0,3.183,170765.0,NEAR OCEAN
90,-122.11,37.61,26.0,2.0,170.0,381.0,187.0,1.6178,161237.0,INLAND
91,-117.86,34.05,36.0,3778.0,,1986.0,712.0,5.6125,188366.0,<1H OCEAN
92,-122.04,37.24,37.0,2372.0,335.0,714.0,250.0,6.5682,283900.0,NEAR BAY
93,-117.53,32.54,26.0,2850.0,,460.0,358.0,4.3142,198189.0,NEAR OCEAN
94,-117.84,34.03,32.0,548.0,307.0,867.0,230.0,5.7904,143175.0,INLAND
95,-116.22,36.72,25.0,326.0,210.0,429.0,69.0,2.8258,115339.0,INLAND
96,-121.43,36.12,52.0,2343.0,,1083.0,395.0,3.4086,345116.0,<1H OCEAN
97,-119.02,35.1,23.0,5186.0,1116.0,1972.0,932.0,3.9197,89106.0,<1H OCEAN
98,-122.12,33.82,7.0,9836.0,2687.0,7128.0,2078.0,6.7794,346226.0,INLAND
99,-121.81,37.68,43.0,1030.0,292.0,615.0,118.0,1.1201,91371.0,NEAR BAY
100,-117.16,32.77,28.0,654.0,,692.0,283.0,1.9222,153375.0,NEAR OCEAN
101,-119.15,35.29,29.0,2837.0,1205.0,1583.0,657.0,2.8406,78426.0,INLAND
102,-117.28,33.8,34.0,1396.0,418.0,1122.0,335.0,2.8316,498282.0,NEAR OCEAN
103,-119.9,36.73,52.0,146.0,259.0,474.0,117.0,1.4624,67222.0,INLAND
104,-123.84,37.09,21.0,2635.0,809.0,2315.0,505.0,3.9108,64213.0,INLAND
105,-118.15,33.91,18.0,3301.0,575.0,1074.0,482.0,6.0838,166747.0,<1H OCEAN
106,-119.98,40.03,28.0,3079.0,,2490.0,658.0,4.4926,109361.0,<1H OCEAN
107,-120.86,34.04,21.0,2.0,155.0,269.0,65.0,4.0139,91407.0,INLAND
108,-118.14,34.04,16.0,3743.0,486.0,2876.0,1010.0,4.1284,384767.0,<1H OCEAN
109,-117.62,38.44,8.0,2850.0,746.0,2746.0,625.0,2.9578,174810.0,<1H OCEAN
110,-121.53,38.2,32.0,2.0,68.0,14.0,28.0,1.5387,91782.0,INLAND
111,-121.84,37.67,22.0,3077.0,622.0,1440.0,507.0,4.6066,305973.0,NEAR BAY
112,-117.06,34.06,18.0,491.0,136.0,401.0,65.0,0.9351,60677.0,INLAND
113,-117.98,33.72,21.0,6796.0,895.0,3596.0,835.0,5.7871,262373.0,NEAR OCEAN
114,-117.07,37.78,11.0,3106.0,391.0,1371.0,690.0,4.2922,217533.0,NEAR OCEAN
115,-122.21,37.74,35.0,3416.0,257.0,966.0,253.0,10.08,369495.0,NEAR OCEAN
116,-119.16,35.63,18.0,4197.0,1003.0,3391.0,791.0,3.018,61330.0,INLAND
117,-117.04,32.67,27.0,5994.0,785.0,2322.0,913.0,3.5107,244586.0,NEAR OCEAN
118,-121.15,37.71,9.0,786.0,403.0,366.0,77.0,1.9393,358801.0,INLAND
119,-120.69,34.06,22.0,3165.0,,2832.0,583.0,2.9532,112013.0,<1H OCEAN
120,-119.62,37.47,22.0,2396.0,708.0,1261.0,571.0,2.7067,192091.0,INLAND
121,-118.18,33.92,25.0,6173.0,1435.0,3625.0,596.0,4.0796,295140.0,<1H OCEAN
122,-117.05,33.9,38.0,2.0,163.0,523.0,79.0,1.8657,70938.0,INLAND
123,-118.22,33.92,36.0,1122.0,280.0,925.0,249.0,5.7734,248774.0,<1H OCEAN
124,-118.14,34.09,43.0,1812.0,403.0,938.0,447.0,1.9093,173880.0,<1H OCEAN
125,-116.65,39.43,22.0,660.0,157.0,500.0,50.0,0.7036,68565.0,INLAND
126,-122.32,37.62,52.0,2687.0,413.0,836.0,304.0,3.1914,140994.0,NEAR BAY
127,-119.72,37.21,23.0,2449.0,461.0,1039.0,559.0,3.709,132859.0,NEAR OCEAN
128,-122.46,37.34,26.0,3387.0,,1439.0,558.0,11.6714,500001.0,NEAR OCEAN
129,-118.02,34.0,44.0,1243.0,95.0,849.0,186.0,3.419,478906.0,<1H OCEAN
130,-117.35,32.88,38.0,1283.0,,818.0,245.0,1.6172,73890.0,NEAR OCEAN
131,-118.27,34.13,41.0,700.0,289.0,726.0,143.0,1.5634,119497.0,<1H OCEAN
132,-115.07,35.07,20.0,2832.0,357.0,1241.0,760.0,3.2413,67943.0,INLAND
133,-122.79,38.53,33.0,2214.0,,1384.0,611.0,1.5692,210948.0,NEAR BAY
134,-119.86,36.48,16.0,7272.0,1826.0,4234.0,1494.0,5.6866,248356.0,NEAR OCEAN
135,-118.37,33.88,33.0,4990.0,,2972.0,1151.0,4.5035,198952.0,<1H OCEAN
136,-118.4,33.71,36.0,2269.0,896.0,1503.0,373.0,6.475,253452.0,<1H OCEAN
137,-118.34,34.09,6.0,3691.0,,8848.0,408.0,6.8849,196426.0,<1H OCEAN
138,-122.14,37.6,52.0,346.0,239.0,852.0,94.0,1.8003,254409.0,NEAR OCEAN
139,-119.22,34.2,41.0,675.0,362.0,426.0,157.0,2.1879,82826.0,INLAND
140,-118.48,33.92,27.0,1935.0,557.0,1291.0,222.0,8.0627,485206.0,<1H OCEAN
141,-119.42,37.68,30.0,2299.0,,1791.0,493.0,5.947,276586.0,NEAR OCEAN
142,-118.4,34.21,33.0,2345.0,308.0,697.0,244.0,3.8578,84206.0,INLAND
143,-122.11,34.14,11.0,681.0,378.0,527.0,475.0,8.9377,479288.0,NEAR OCEAN
144,-118.31,33.79,35.0,2631.0,605.0,1528.0,557.0,1.4312,72349.0,NEAR OCEAN
145,-118.29,33.93,26.0,1548.0,315.0,729.0,239.0,2.8932,184301.0,<1H OCEAN
146,-121.27,37.41,4.0,2408.0,302.0,1367.0,446.0,6.0294,380737.0,<1H OCEAN
147,-118.23,33.9,8.0,1496.0,298.0,1007.0,175.0,6.5926,346582.0,<1H OCEAN
148,-119.23,36.97,16.0,4433.0,,2139.0,847.0,3.8557,243282.0,<1H OCEAN
149,-122.63,38.08,52.0,2500.0,,1670.0,344.0,3.1731,138529.0,<1H OCEAN
150,-117.28,32.92,20.0,392.0,264.0,543.0,46.0,1.935,150238.0,INLAND
151,-122.19,38.37,17.0,1575.0,387.0,561.0,271.0,3.5335,63040.0,INLAND
152,-118.36,37.27,30.0,2483.0,377.0,529.0,303.0,3.9778,421931.0,NEAR OCEAN
153,-117.18,32.85,29.0,2972.0,808.0,4539.0,648.0,2.1451,125971.0,NEAR OCEAN
154,-119.22,35.21,16.0,5301.0,533.0,3335.0,654.0,3.8089,306751.0,<1H OCEAN
155,-119.96,37.82,24.0,2066.0,360.0,658.0,201.0,4.2725,83631.0,<1H OCEAN
156,-122.24,37.54,5.0,3624.0,849.0,2180.0,634.0,5.7871,289809.0,<1H OCEAN
157,-122.38,37.77,27.0,4221.0,,1678.0,562.0,5.4193,265314.0,<1H OCEAN
158,-119.89,34.28,34.0,1957.0,400.0,1016.0,327.0,4.411,183647.0,<1H OCEAN
159,-118.16,33.82,45.0,742.0,252.0,215.0,151.0,1.931,161943.0,<1H OCEAN
160,-121.43,39.4,26.0,625.0,134.0,458.0,276.0,1.8445,79219.0,INLAND
