,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-116.21,33.47,11.0,1593.0,295.0,369.0,134.0,4.8776,323276.0,<1H OCEAN
1,-119.34,34.46,36.0,1268.0,314.0,600.0,203.0,2.5801,318561.0,INLAND
2,-123.22,38.95,20.0,4677.0,970.0,1876.0,900.0,4.0063,285637.0,<1H OCEAN
3,-119.12,34.06,40.0,1576.0,331.0,184.0,328.0,2.1202,117328.0,INLAND
4,-118.33,33.48,27.0,3207.0,628.0,2057.0,590.0,4.1015,277358.0,INLAND
5,-116.71,33.01,44.0,1840.0,415.0,769.0,344.0,3.8393,256477.0,NEAR OCEAN
6,-118.06,34.43,21.0,3515.0,628.0,1814.0,547.0,3.774,79681.0,NEAR BAY
7,-119.06,35.42,27.0,3956.0,686.0,2103.0,725.0,4.2347,398124.0,INLAND
8,-116.56,33.04,41.0,1950.0,458.0,1168.0,371.0,2.0359,135484.0,NEAR OCEAN
9,-116.2,32.74,14.0,5008.0,1056.0,3063.0,952.0,2.2005,71285.0,<1H OCEAN
10,-119.77,33.83,46.0,2047.0,419.0,665.0,332.0,5.1385,310270.0,NEAR OCEAN
11,-120.04,35.21,38.0,2964.0,720.0,2011.0,610.0,1.9288,285965.0,INLAND
12,-116.2,33.47,17.0,296.0,122.0,114.0,75.0,1.8331,136756.0,<1H OCEAN
13,-121.72,38.85,13.0,666.0,183.0,266.0,112.0,2.6774,158811.0,NEAR OCEAN
14,-116.87,33.38,4.0,2559.0,631.0,1328.0,722.0,3.6617,234233.0,NEAR OCEAN
15,-119.69,35.63,30.0,1737.0,443.0,905.0,405.0,1.1936,153954.0,INLAND
16,-119.41,34.21,21.0,1427.0,203.0,297.0,167.0,3.274,200777.0,INLAND
17,-115.56,32.59,47.0,4698.0,1112.0,2419.0,1072.0,3.2817,298856.0,NEAR BAY
18,-120.09,36.09,25.0,289.0,102.0,292.0,107.0,2.8139,136367.0,NEAR OCEAN
19,-120.02,34.52,21.0,254.0,126.0,244.0,146.0,2.9889,241959.0,NEAR OCEAN
20,-121.94,40.08,20.0,1464.0,396.0,1041.0,416.0,2.3647,110639.0,<1H OCEAN
21,-118.61,36.58,33.0,1430.0,188.0,113.0,135.0,4.7915,266042.0,INLAND
22,-117.93,34.09,37.0,3802.0,742.0,2961.0,809.0,1.6075,131197.0,<1H OCEAN
23,-118.27,34.21,35.0,5441.0,1073.0,3970.0,1272.0,3.6198,205136.0,<1H OCEAN
24,-115.67,32.9,4.0,4180.0,558.0,1005.0,559.0,5.0863,216003.0,<1H OCEAN
25,-120.32,37.29,25.0,1777.0,214.0,756.0,208.0,4.5215,265733.0,<1H OCEAN
26,-122.97,37.87,36.0,4211.0,681.0,972.0,648.0,7.3875,497901.0,INLAND
27,-117.74,32.71,43.0,685.0,337.0,892.0,362.0,1.8166,206288.0,INLAND
28,-117.87,33.45,9.0,3709.0,968.0,2714.0,919.0,3.8186,188109.0,<1H OCEAN
29,-121.13,36.02,37.0,1386.0,390.0,736.0,427.0,4.8042,325215.0,ISLAND
30,-121.97,37.1,16.0,3178.0,588.0,1934.0,620.0,6.7023,375639.0,<1H OCEAN
31,-121.27,37.37,46.0,2879.0,432.0,1232.0,367.0,4.6796,330259.0,INLAND
32,-118.04,33.41,11.0,1527.0,488.0,2038.0,616.0,1.6834,48405.0,INLAND
33,-117.57,33.84,30.0,3393.0,542.0,2720.0,531.0,3.6684,204211.0,<1H OCEAN
34,-119.97,35.9,34.0,1095.0,117.0,269.0,111.0,3.4275,129027.0,<1H OCEAN
35,-121.25,36.4,22.0,45.0,14.0,86.0,29.0,2.7321,211758.0,INLAND
36,-122.53,37.8,41.0,3420.0,963.0,3152.0,953.0,2.0252,239270.0,INLAND
37,-121.17,37.38,36.0,3416.0,605.0,1437.0,592.0,3.6936,118352.0,INLAND
38,-119.68,35.36,26.0,5592.0,1087.0,1657.0,897.0,3.5846,243459.0,INLAND
39,-118.26,33.8,33.0,4706.0,916.0,2405.0,913.0,6.7897,462160.0,NEAR BAY
40,-120.95,37.85,50.0,2090.0,592.0,1817.0,461.0,1.2413,71911.0,ISLAND
41,-120.55,36.61,42.0,1999.0,353.0,984.0,384.0,5.3952,437450.0,<1H OCEAN
42,-122.2,39.1,21.0,995.0,253.0,575.0,263.0,1.2933,64871.0,INLAND
43,-116.15,32.73,9.0,2363.0,440.0,600.0,330.0,3.4963,203918.0,<1H OCEAN
44,-122.58,39.48,37.0,1757.0,549.0,740.0,475.0,0.7947,206513.0,<1H OCEAN
45,-118.46,34.17,38.0,2815.0,364.0,965.0,396.0,6.4991,258039.0,INLAND
46,-117.77,33.83,29.0,3849.0,850.0,3384.0,877.0,3.5579,231675.0,<1H OCEAN
