,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-118.88373170258701,35.01970496828241,21.184500582463947,3902.590991192451,701.4254708510015,2016.1023361957418,574.7259757490955,3.52462844254145,157599.703399757,<1H OCEAN
1,-120.50029698957417,35.528322498738724,22.752121082699702,4423.358776934267,830.4633415476118,1747.624351682081,742.1821876731813,5.2318810630981645,268055.70324542734,INLAND
2,-116.96946966410228,32.66676742860893,29.7514410780271,3654.674966968293,701.6979554746628,1513.3651265415645,585.6636704665498,2.9773329623220173,206276.43711939486,INLAND
3,-119.58129495170736,36.10098510239162,29.8537563375552,2.0,1.0,3.0,1.0,1.3983878103080971,52665.46462370426,INLAND
4,-119.38486628154125,35.044043432819265,43.20783035829044,2.0,1.0,3.0,1.0,6.540993572339714,224846.15628633837,NEAR OCEAN
5,-118.73438836915368,35.50920232460587,23.91510010674747,7029.872071980522,1159.2144044622746,4282.083057324267,1118.334072521449,5.570906684257221,149840.4246234887,INLAND
6,-119.8295979883451,34.95005827373187,27.56835825544504,4546.479018223407,572.2178261234103,1615.2218955928952,640.4570017940725,4.844834815461732,301770.528239263,INLAND
7,-118.05203432866443,33.97858245625597,1.0,5567.4308248493235,1197.9202449952759,3214.0539179962307,1102.9600417948,3.0654901781152764,191913.86553811486,INLAND
8,-120.94305496377986,36.91277239355344,28.34466395095477,1274.5496682300281,327.0673906556217,1229.333235322725,315.12686715647885,2.479887851875918,53186.00547286938,<1H OCEAN
9,-119.98561144151854,35.649917450747665,20.0438544364588,6836.866902052425,1308.8469477425365,3524.302691858871,1192.357840823685,5.330083341734907,261399.24265512588,<1H OCEAN
10,-118.66467077797418,33.869576695035335,31.616408078881225,2855.2008355569997,570.9642550876116,1852.999876426632,544.4059823118906,4.112223448199977,269800.46922215295,INLAND
11,-120.11992507736515,36.258450748632185,29.612229952840085,5545.056536674461,913.0893948334699,2224.9630183293298,772.7938688535573,5.442365770211736,232454.19333206504,INLAND
12,-122.04969843681266,37.712193057518675,31.065141848637737,4971.388882284975,830.820167379569,1139.850938761626,708.1919239074418,5.4477993504043685,171480.0371433372,INLAND
13,-116.99290910490748,33.578101338932846,48.11973958480414,2096.6544226678016,415.726375546791,1140.6374068449309,345.97365902529566,3.500130524085502,103560.08207877004,<1H OCEAN
14,-121.28149971713589,37.876755017403056,22.25877232344647,5459.189022578419,1367.483469890533,3311.7110205562167,1231.6057670882415,2.6521918804200677,126075.20892741966,NEAR BAY
15,-119.78005072883377,35.56191837195698,52.0,2.0,9.647357608763741,3.0,30.95950400237939,3.070192890978939,194498.48180083858,INLAND
16,-115.04419604210314,32.795918211822226,14.55864881954005,2446.031546292683,476.51943218278063,1873.3111960487154,335.51619882913906,4.4398265625543605,93586.05456016451,NEAR BAY
17,-116.89599390903818,33.68122762112762,5.310040568702814,3301.453022731028,724.9073210092871,1258.2411822996353,484.6896705814388,4.824638161455958,132645.68667513365,INLAND
18,-117.52541433774891,34.44796520645425,36.275464475872894,5062.0659924602805,928.623749006839,3797.782374827706,808.1867468512303,1.3701104364194991,112758.10506419685,NEAR BAY
19,-120.05802667532336,34.518356862764286,44.10222946263213,2877.2181756018504,466.12762420397667,2136.279235101936,561.8458885182096,5.543872601434138,252428.0743580766,NEAR OCEAN
20,-120.85852300523705,37.24070038601883,1.0,2542.593764433747,619.7027687460168,1372.9891960322798,584.6893428640755,2.2620075322530733,99717.46729039543,INLAND
21,-117.69602821221939,33.43543380362034,33.25470272245598,2.0,1.0,3.0,1.0,7.2284633856684435,435463.214161828,<1H OCEAN
22,-117.89792380595797,34.50056794963268,20.95671798004311,2846.4522748199806,666.5138434677681,1852.1512369107622,636.1872292073691,2.297129738532475,113786.62483507939,<1H OCEAN
23,-124.35,41.06752398122576,39.27250148801568,2147.9497449293312,428.03342321723585,378.01442770679955,496.8657818102623,4.0816098319005745,280686.7991342887,NEAR BAY
24,-119.09162296935438,32.54,37.942191350520204,3944.881392605903,1022.7984006989155,2824.5896328030594,1074.3853392994893,3.4449661634536812,272373.9891921067,NEAR OCEAN
25,-118.94141302855398,33.50003306499992,44.836214921855515,4337.188426151948,1051.7137403582274,1938.9310644253176,894.3949210049598,4.894547276315354,423622.30665648833,INLAND
