,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-121.18,38.23,18.0,3721.0,601.0,1048.0,468.0,3.1954,113837.0,NEAR BAY
1,-118.26,33.43,28.0,4040.0,745.0,1873.0,627.0,4.988,268248.0,NEAR OCEAN
2,-122.03,37.31,20.0,5505.0,1048.0,2680.0,1082.0,3.7728,268524.0,NEAR OCEAN
3,-118.25,34.16,28.0,3277.0,858.0,2000.0,856.0,2.4288,225769.0,<1H OCEAN
4,-117.07,32.73,17.0,2247.0,386.0,831.0,350.0,4.596,174580.0,<1H OCEAN
5,-122.01,37.83,52.0,984.0,199.0,305.0,225.0,3.4322,252111.0,NEAR BAY
6,-122.08,37.19,51.0,1969.0,294.0,643.0,325.0,3.1716,360366.0,NEAR BAY
7,-118.4,34.21,34.0,1274.0,181.0,788.0,328.0,5.4839,252389.0,<1H OCEAN
8,-122.2,37.76,50.0,2069.0,461.0,1053.0,400.0,4.871,298031.0,NEAR BAY
9,-118.07,33.79,37.0,1925.0,445.0,915.0,377.0,4.372,300611.0,<1H OCEAN
10,-118.17,34.12,38.0,1777.0,325.0,992.0,352.0,6.682,500001.0,<1H OCEAN
11,-121.22,37.7,19.0,4361.0,889.0,2739.0,878.0,3.4517,139498.0,NEAR BAY
12,-118.29,34.08,36.0,2225.0,437.0,901.0,348.0,4.9268,244627.0,<1H OCEAN
13,-122.28,37.91,38.0,2161.0,371.0,1279.0,356.0,5.8254,255329.0,NEAR BAY
14,-119.53,37.13,19.0,3799.0,732.0,2066.0,826.0,2.2813,78347.0,INLAND
15,-121.04,33.3,18.0,1351.0,221.0,670.0,153.0,3.5341,103645.0,NEAR OCEAN
16,-118.22,33.96,36.0,2870.0,495.0,1723.0,477.0,4.441,207754.0,<1H OCEAN
17,-117.96,33.61,33.0,1654.0,145.0,121.0,160.0,3.115,67238.0,<1H OCEAN
18,-119.83,37.15,35.0,1238.0,242.0,887.0,327.0,3.5573,229679.0,NEAR OCEAN
19,-121.39,38.41,14.0,1890.0,242.0,851.0,290.0,5.1591,213937.0,<1H OCEAN
20,-121.69,38.37,14.0,2041.0,195.0,830.0,330.0,4.9095,135443.0,INLAND
21,-122.51,37.9,34.0,2057.0,625.0,1482.0,553.0,2.5049,169538.0,NEAR BAY
22,-121.94,37.49,35.0,2069.0,429.0,882.0,366.0,1.7412,174875.0,NEAR BAY
23,-122.4,37.51,34.0,1632.0,331.0,1004.0,356.0,3.5909,228605.0,NEAR OCEAN
24,-122.18,37.34,52.0,2630.0,508.0,1076.0,522.0,3.8064,427042.0,NEAR BAY
25,-122.71,37.61,17.0,2930.0,644.0,1676.0,725.0,3.0219,239658.0,NEAR OCEAN
26,-118.21,34.07,37.0,1584.0,210.0,742.0,389.0,3.544,154073.0,<1H OCEAN
27,-118.8,34.33,36.0,2671.0,517.0,1489.0,399.0,5.8248,353479.0,<1H OCEAN
28,-121.83,34.06,26.0,3217.0,859.0,2651.0,834.0,3.1571,168464.0,<1H OCEAN
29,-118.29,33.86,22.0,6122.0,1408.0,3578.0,2220.0,2.7978,286346.0,NEAR OCEAN
30,-120.57,38.74,19.0,2385.0,404.0,1054.0,430.0,3.4919,159412.0,INLAND
31,-121.86,37.98,25.0,3865.0,782.0,1875.0,702.0,3.2281,142757.0,NEAR BAY
32,-117.81,33.95,38.0,1375.0,116.0,379.0,297.0,7.8621,288681.0,<1H OCEAN
33,-117.13,32.88,17.0,3449.0,826.0,1351.0,622.0,2.2421,128031.0,<1H OCEAN
34,-122.31,37.71,36.0,2316.0,454.0,1237.0,459.0,3.4851,168766.0,NEAR BAY
35,-118.35,33.92,29.0,3815.0,1090.0,2555.0,921.0,2.9959,182931.0,<1H OCEAN
36,-122.62,37.89,16.0,3963.0,529.0,1561.0,450.0,8.5035,500001.0,NEAR BAY
37,-121.08,37.65,51.0,1340.0,126.0,480.0,218.0,2.4686,197243.0,NEAR BAY
38,-118.15,34.11,43.0,1177.0,57.0,676.0,358.0,2.123,107438.0,<1H OCEAN
39,-118.38,33.9,49.0,1731.0,464.0,1729.0,451.0,1.4736,132421.0,<1H OCEAN
40,-117.57,34.07,20.0,1487.0,382.0,840.0,293.0,3.0671,108321.0,INLAND
41,-122.62,37.72,52.0,2864.0,748.0,1101.0,582.0,4.7442,492018.0,NEAR BAY
42,-122.06,37.88,38.0,1827.0,119.0,455.0,256.0,4.5211,141465.0,NEAR BAY
