,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
0,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,223167,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,420 34TH ST BOX 1888,ALBUQUERQUE,MA,99508,NV - Las Vegas,33,5981.05,6235.06,5086.97
1,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,59395,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,504 ELM STREET NE,TWIN FALLS,MO,93177,FL - Orlando,52,5981.05,5391.68,3802.3
2,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,420957,ST ALPHONSUS REGIONAL MEDICAL CENTER,701 GROVE RD,PROVO,NJ,76452,AL - Dothan,72,15533.67,5180.09,4357.49
3,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,315709,BRONSON METHODIST HOSPITAL,1111 6TH AVE,CARTERSVILLE,OK,32628,IL - Aurora,35,5981.05,6675.02,4603.27
4,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,83863,NORTH CAROLINA BAPTIST HOSPITAL,1700 SW 7TH STREET,ANNAPOLIS,OK,65349,TX - Beaumont,20,20503.2,10252.41,5110.81
5,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,451427,FLORIDA HOSPITAL ZEPHYRHILLS,315 SOUTH MANNING BOULEVARD,HAMMOND,AL,71128,MI - Dearborn,28,18526.02,5793.26,6848.35
6,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,194080,FREDERICK MEMORIAL HOSPITAL,100 PORT WASHINGTON BOULEVARD,OLYMPIA FIELDS,IL,81884,NE - Omaha,16,19640.18,5991.79,5930.75
7,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,100470,WAUKESHA MEMORIAL HOSPITAL,555 E VALLEY PARKWAY,DOTHAN,FL,84581,AR - Little Rock,21,5981.05,5205.44,4064.65
8,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,332766,FORSYTH MEMORIAL HOSPITAL,1304 FRANKLIN AVENUE,CONCORD,AZ,99508,IN - Indianapolis,80,5981.05,5341.26,5759.05
9,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,56006,FLAGSTAFF MEDICAL CENTER,1000 MINERAL POINT AVE,CASPER,FL,98075,MD - Baltimore,19,5981.05,4972.2,4029.37
10,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,214434,MEMORIAL HERMANN NORTHEAST,3333 SPRINGHILL DRIVE,SANTA ROSA,TX,93318,WI - Milwaukee,22,5981.05,4968.0,4041.87
11,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,240327,VALLEY HOSPITAL,250 PLEASANT ST,SPOKANE,AL,40643,KY - Paducah,15,11355.37,6469.55,4761.08
12,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,335105,BAY MEDICAL CENTER,1227 EAST RUSHOLME STREET,WEST COLUMBIA,LA,99508,PA - Allentown,102,5981.05,5356.38,5356.04
13,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,424268,ST JOSEPH MERCY HOSPITAL,3080 COLLEGE STREET,FAYETTEVILLE,VA,99508,VA - Norfolk,41,9471.73,6009.24,6381.02
