,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
0,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,508372,GOOD SAMARITAN HOSPITAL,525 EAST MARKET STREET,AKRON,OH,66902,OH - Columbus,14,25773.4,5903.59,5511.63
1,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,53821,MARTIN MEMORIAL MEDICAL CENTER,200 SE HOSPITAL AVE,PLANO,FL,40421,FL - Fort Lauderdale,17,33083.96,5626.57,4788.42
2,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,22307,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,GLENDALE,AZ,94594,CA - Los Angeles,13,53019.52,7283.85,5110.09
3,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,416027,BAPTIST MEDICAL CENTER,8801 SOUTH 101ST EAST AVENUE,CHARLESTON,TX,28661,SC - Charleston,56,24590.36,6100.89,4957.48
4,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,35727,ST JOSEPH HOSPITAL,7400 EAST OSBORN ROAD,GLENDALE,NJ,17837,NJ - Camden,31,49241.58,7457.16,4800.49
5,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,483746,GOOD SAMARITAN HOSPITAL,2142 NORTH COVE BOULEVARD,SPRINGFIELD,WI,57321,OH - Columbus,39,18819.29,5926.73,4494.22
6,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,235040,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,1199,MD - Baltimore,13,13046.54,7465.03,5375.82
7,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,212335,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,ALBANY,PA,80696,PA - Harrisburg,20,7921.61,8529.29,4676.11
8,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,192118,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,TOPEKA,TX,48324,TX - Dallas,21,21221.53,6061.67,4225.12
9,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,253610,NORTH MEMORIAL MEDICAL CENTER,45 WEST 10TH STREET,ROBBINSDALE,MN,57104,MN - Minneapolis,11,18966.57,6131.56,7818.25
10,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,498345,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,3701 DOTY ROAD,ROCKFORD,IL,48947,IL - Rockford,13,30094.88,5979.32,4769.15
11,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170740,JEFFERSON REGIONAL MEDICAL CENTER,802 KENYON RD,PITTSBURGH,PA,30150,PA - Pittsburgh,14,18211.25,6377.04,5226.85
12,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,410337,MERCY REGIONAL MEDICAL CENTER,1224 TROTWOOD AVE,NASHVILLE,OH,41965,OH - Cleveland,20,30677.32,5468.63,5199.21
13,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,501997,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,MANITOWOC,WI,15621,WI - Wausau,14,13147.26,6451.78,4651.06
14,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,65809,FRESNO HEART AND SURGICAL HOSPITAL,25500 MEDICAL CENTER DRIVE,MURRIETA,CA,99508,CA - Los Angeles,18,42022.94,7088.4,6774.34
