,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
0,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,388692,IU HEALTH GOSHEN HOSPITAL,1410 NORTH 4TH STREET,KENOSHA,NJ,43351,VA - Arlington,27,53685.25,9886.96,8808.82
1,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,408262,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,3024 STADIUM BOULEVARD,QUINCY,IL,84089,NM - Albuquerque,41,9353.18,6808.78,6388.52
2,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,64011,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,267 GRANT STREET,ELK GROVE VILLA,MS,19924,WI - Green Bay,37,50986.69,7481.02,6525.84
3,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,436919,STRONG MEMORIAL HOSPITAL,800 PRUDENTIAL DR,GREEN BAY,NV,49556,AL - Birmingham,28,12770.34,6740.28,4769.1
4,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,661504,ST JOSEPH'S HOSPITAL,259 FIRST STREET,MINERAL WELLS,KY,3550,IN - Evansville,12,25777.72,9148.31,9866.12
5,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,119059,JOHN D ARCHBOLD MEMORIAL HOSPITAL,601 SOUTH 8TH STREET,SANDUSKY,OH,46340,FL - Jacksonville,21,53611.94,5593.27,4391.72
6,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,551275,SAINT JOHN'S HEALTH CENTER,401 S BALLENGER HIGHWAY,GREENWOOD,PA,47102,KY - Lexington,34,56066.89,6554.36,4502.21
7,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,260441,ELKHART GENERAL HOSPITAL,1600 W AVE J,LA MESA,MS,95872,CA - Orange County,46,45797.0,7627.61,5313.51
8,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,417557,ST JOSEPH HEALTH CENTER,12303 DEPAUL DRIVE,TULSA,IN,36140,TX - Dallas,30,22582.68,5471.26,4370.35
9,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,275439,FLOYD MEDICAL CENTER,1701 OAK PARK BLVD,MURFREESBORO,MS,94073,WI - La Crosse,16,14415.89,6260.27,5353.63
10,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,217176,OVERLAKE HOSPITAL MEDICAL CENTER,W180 N8085 TOWN HALL RD,DULUTH,FL,93182,VA - Newport News,54,15118.63,4994.37,3968.2
11,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,588719,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,70 DUBOIS STREET,EL PASO,AL,72294,MI - Muskegon,14,10792.51,5706.76,4467.73
12,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,94682,MERCY MEDICAL CENTER-DES MOINES,802 KENYON RD,MARQUETTE,MO,96123,AL - Birmingham,54,41921.14,7222.33,5493.97
13,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330289,DESERT SPRINGS HOSPITAL,ONE RIVERVIEW PLAZA,PADUCAH,OH,22107,NY - East Long Island,39,37565.68,6170.64,4526.82
14,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,484886,BRONSON METHODIST HOSPITAL,3601 NORTH WEBB ROAD,SCHENECTADY,TX,82675,AL - Birmingham,28,21019.76,9264.81,5692.24
15,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,189630,LONGVIEW REGIONAL MEDICAL CENTER,22 BRAMHALL ST,DECATUR,GA,29151,FL - Tampa,18,51628.97,6802.31,6466.95
16,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,152252,SINGING RIVER HOSPITAL,250 SOUTH 21ST STREET,AURORA,SC,13916,IN - Terre Haute,74,20794.16,5621.87,5804.15
17,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,380819,TALLAHASSEE MEMORIAL HEALTHCARE,809 82ND PARKWAY BOX 7500,GREAT FALLS,TN,25961,VA - Arlington,34,15293.8,7925.5,7152.43
18,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,385166,ST FRANCIS HOSPITAL,7601 SOUTHCREST DR,RED BANK,OH,78954,AZ - Phoenix,64,20451.63,6736.41,4473.97
19,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,337280,CITIZENS MEDICAL CENTER,5 PERRYRIDGE RD,ROCK ISLAND,TX,56733,FL - Fort Lauderdale,26,64420.01,10543.69,6743.01
20,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,488564,FAIRVIEW HOSPITAL,900 W CLAIREMONT AVE,ROCKFORD,IL,40402,MO - Kansas City,32,62414.05,10125.27,7331.02
21,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,24518,ABBOTT NORTHWESTERN HOSPITAL,1653 WEST CONGRESS PARKWAY,MINEOLA,IN,53916,WI - Madison,38,28375.73,9442.27,6647.4
22,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,487678,DUKE HEALTH RALEIGH HOSPITAL,810 FAIRGROVE CHURCH RD,COLUMBIA,AL,23435,CT - Hartford,24,18339.76,8780.24,5626.8
23,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,148437,PUTNAM COMMUNITY MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,PLANO,TX,12425,AL - Birmingham,14,43240.76,9698.32,7492.2
24,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,323904,SETON MEDICAL CENTER AUSTIN,100 LANCASTER AVE,FINDLAY,CT,20946,NC - Greenville,19,12139.72,6367.3,5542.22
25,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,81022,AVERA SACRED HEART HOSPITAL,2500 HARBOR BLVD,RALEIGH,IN,99359,TN - Kingsport,39,46779.94,6260.97,5694.47
26,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,290052,SENTARA NORFOLK GENERAL HOSPITAL,LANGHORNE-NEWTOWN RD,SAINT LOUIS,WI,77130,NC - Durham,18,16480.91,5227.76,4144.02
27,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,87189,ST JOHNS REGIONAL MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,KALAMAZOO,MI,82457,CA - San Diego,20,47390.21,9660.29,6788.83
28,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,491510,LAREDO MEDICAL CENTER,744 S WEBSTER AVE,FORT SMITH,IL,53318,MI - Traverse City,41,59356.4,6994.92,6502.59
29,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,217368,SPRINGFIELD REGIONAL MEDICAL CENTER,407 3RD ST SE,COLUMBIA,NC,35854,MD - Baltimore,28,54932.56,8232.52,5603.08
30,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,557214,ORANGE PARK MEDICAL CENTER,112 NORTH SEVENTH STREET,MINEOLA,GA,2631,MI - Detroit,53,19612.42,5397.29,4947.95
31,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,45805,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,2720 SUNSET BLVD,GRAND RAPIDS,WI,76170,ND - Grand Forks,31,47231.2,6106.89,4863.84
32,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,211525,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,55 FOGG ROAD,HOUMA,TN,59415,OH - Columbus,33,34810.33,9104.76,6453.77
33,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,357554,HANNIBAL REGIONAL HOSPITAL,JEFFERSON PARK AVE,DADE CITY,CA,96752,WA - Olympia,52,67164.1,8273.1,6447.78
34,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,36073,SAINT JOHN'S HEALTH SYSTEM,1026 A AVE NE,OAK LAWN,CA,28198,TN - Memphis,14,48064.37,5994.1,5855.17
35,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,204350,PALMETTO HEALTH RICHLAND,1 SHIRCLIFF WAY,PANAMA CITY,MI,41964,CA - Palm Springs/Rancho M,32,20186.44,8277.69,6595.0
36,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,279077,BANNER BOSWELL MEDICAL CENTER,5 PERRYRIDGE RD,PANAMA CITY,MI,66433,OH - Columbus,37,47402.37,8605.0,6176.31
37,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,22365,WADLEY REGIONAL MEDICAL CENTER,811 EAST PARRISH AVENUE,MINNEAPOLIS,MA,65584,ND - Fargo/Moorhead MN,51,31758.07,6209.05,5180.22
38,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,415262,UPMC PRESBYTERIAN SHADYSIDE,JEFFERSON PARK AVE,CORPUS CHRISTI,TX,36341,AL - Birmingham,67,27962.11,6536.76,5477.69
39,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,264095,ST NICHOLAS HOSPITAL,1200 NORTH BEAVER STREET,PHOENIX,UT,63277,MT - Billings,42,8021.05,6163.47,4854.88
40,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,108870,SUTTER GENERAL HOSPITAL,3815 HIGHLAND AVENUE,AUSTIN,OH,41575,NC - Raleigh,24,22010.37,6262.28,5740.42
